Angular frequency,Storage modulus,Loss modulus
1e-08,18.70589064809033,3085.6174152051344
1.4508287784959402e-08,39.37005633761548,4476.44228789234
2.104904144512022e-08,82.85225960868021,6493.756871667985
3.053855508833412e-08,174.31670042878682,9418.905626594995
4.4306214575838774e-08,366.56923756183323,13657.832600234022
6.42807311728432e-08,770.0478024244205,19792.713926661603
9.3260334688322e-08,1614.108339842861,28647.844506671172
1.3530477745798075e-07,3368.255652601478,41359.222067083654
1.9630406500402725e-07,6966.130068142285,59405.02094444589
2.848035868435805e-07,14163.213974170614,84481.05979438989
4.1320124001153343e-07,27940.874331399256,118006.15701947926
5.994842503189409e-07,52562.30443535764,160089.5849384471
8.697490026177835e-07,92637.14693350214,208314.63692834432
1.261856883066021e-06,151114.11561893715,257465.145884391
1.8307382802953698e-06,227464.38749915874,301037.9840587686
2.656087782946684e-06,317607.20041513076,333705.9934783804
3.853528593710536e-06,415567.1583704905,352952.4743267839
5.590810182512223e-06,515483.075444364,359096.2699428951
8.111308307896873e-06,612843.5557225678,354285.655747677
1.1768119524349992e-05,704786.2393324027,341361.6751009692
1.7073526474706923e-05,789839.4376323798,323075.43267021066
2.477076355991714e-05,867497.0330676398,301714.7613399851
3.5938136638046256e-05,937838.6371451364,279012.450081609
5.214008287999695e-05,1001258.935293695,256197.3601101842
7.56463327554629e-05,1058298.33638026,234096.2396165482
0.00010974987654930568,1109546.4684461863,213239.01892508473
0.0001592282793341094,1155591.7769036358,193948.9053740207
0.00023101297000831627,1196998.1338121425,176413.1336118545
0.00033516026509388476,1234296.5094158628,160736.32394129352
0.00048626015800653534,1267984.8183581152,146980.2743392732
0.0007054802310718645,1298532.2240893824,135194.08532763118
0.001023531021899027,1326386.0458439367,125437.98763971981
0.0014849682622544665,1351980.4724920904,117803.63184359642
0.002154434690031887,1375746.8959643927,112433.10148830879
0.0031257158496882415,1398126.0490247249,109538.58047701306
0.004534878508128591,1419582.39401094,109424.44215217975
0.006579332246575682,1440621.4340556883,112513.5192331261
0.009545484566618348,1461810.850863118,119379.44948199374
0.013848863713938746,1483806.6439551923,130787.2685426682
0.0200923300256505,1507385.7806834837,147744.84469116718
0.029150530628251816,1533487.289431349,171568.3355901676
0.04229242874389508,1563264.268978259,203965.61940478405
0.061359072734131756,1598149.9799113024,247142.64638489904
0.08902150854450393,1639942.0731800587,303938.91692458786
0.12915496650148853,1690910.1523229955,377999.87335666467
0.18738174228603868,1753933.3310857657,473995.96120739495
0.27185882427329455,1832676.3287924437,597900.5474115866
0.39442060594376643,1931815.0595098163,757341.8625634718
0.572236765935022,2057325.7685978957,962047.7503844551
0.8302175681319752,2216855.74513835,1224406.3450910228
1.2045035402587836,2420198.739085923,1560170.9227875744
1.74752840000769,2679904.755855569,1989343.110122697
2.5353644939701168,3012062.2959169443,2537275.323099611
3.6783797718286344,3437301.8743154616,3236040.5451730583
5.336699231206324,3982083.461169013,4126124.883552683
7.742636826811277,4680348.178014064,5258504.910716758
11.233240329780312,5575637.242944028,6697176.109660597
16.297508346206467,6723810.134356548,8522198.301624535
23.644894126454073,8196530.920450609,10833314.706398137
34.30469286314926,10085738.71832737,13754176.873795317
49.770235643321136,12509377.668700546,17437158.16717227
72.20809018385486,15618736.149107706,22068648.4431246
104.76157527896662,19607836.311312698,27874568.695423283
151.99110829529394,24725423.792999964,35125591.42705316
220.513073990305,31290229.19201749,44141147.494845465
319.92671377973846,39710291.59309151,55290664.55512577
464.15888336127915,50507207.8459398,68989500.60614347
673.4150657750828,64346099.611197,85685542.15035658
977.0099572992286,82071649.97690922,105830199.30085185
1417.4741629268076,104749267.67824191,129824255.4183683
2056.51230834866,133707260.6556695,157924424.4714936
2983.6472402833465,170568713.31484538,190090532.98288292
4328.7612810830615,217246338.93401188,225747245.3958325
6280.2914418342725,275842249.41755897,263433742.32776755
9111.627561154906,348336467.98929226,300337875.63323665
13219.41148466034,435861105.8006051,331807721.9531728
19179.102616724926,537308810.0791595,351206627.37057096
27825.59402207126,647325221.6357392,351003091.7540474
40370.172585965665,755031289.1898571,326237731.40787643
58570.20818056673,846651096.6435475,279461517.35924804
84975.34359086472,912894163.6581289,221670209.81672847
123284.67394420685,954032568.8327539,165716617.30005863
178864.95290574426,976810685.3209672,119262165.28546385
259502.42113997426,988542508.794604,84011781.5727765
376493.58067924716,994346667.1211666,58526297.1458741
546227.7217684359,997159241.8806293,40547612.988706514
792482.8983539186,998508239.3556798,28016649.691988174
1149756.9953977403,999152049.8673837,19333419.858417686
1668100.5372000625,999458577.0144416,13333204.920367308
2420128.2647943934,999604352.7949823,9192496.324750876
3511191.7342151417,999673642.1304761,6336829.058859392
5094138.014816386,999706567.8642609,4367991.8177511515
7390722.033525805,999722211.9906143,3010772.9186723735
10722672.220103253,999729644.6097791,2075237.0152007418
15556761.439304786,999733175.7944635,1430389.555508486
22570197.19633926,999734853.4132285,985915.0419995139
32745491.628777318,999735650.4225607,679553.9794316306
47508101.621028125,999736029.0675808,468390.52070007136
68926121.04349709,999736208.9548712,322843.5227866891
100000000.0,999736294.4159597,222523.55185426588
